CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster,cluster_0_membership,cluster_1_membership,cluster_2_membership,cluster_3_membership,cluster_4_membership
1,Male,19,15,39,4,0.00612656906264405,0.0669699399459274,0.06695163833595145,0.0042440704994239605,0.8557077821560531
2,Male,21,15,81,2,0.0001607377320545645,0.002065886363363137,0.9962677098430783,0.0005546071876654287,0.0009510588738383627
3,Female,20,16,6,4,0.0031237814692467586,0.007225334554092022,0.0028739002825112093,0.0007481318347824857,0.9860288518593675
4,Female,23,16,77,2,0.0001335383389805054,0.0019255556992760702,0.9966199193044827,0.00041876739888366027,0.0009022192583771547
5,Female,31,17,40,4,0.006470547031329288,0.08051260602675644,0.0747540208105262,0.0045865475927270635,0.8336762785386611
6,Female,22,17,76,2,0.00010801526300111949,0.0016488884258699483,0.9971629612041252,0.0003359027753109381,0.0007442323316927637
7,Female,35,18,6,4,0.0026893688975786804,0.006099447265774188,0.002243814431271417,0.0006075127448804876,0.9883598566604953
8,Female,23,18,94,2,0.0006464103466969713,0.00662912214170995,0.9869782713609905,0.0033094990826098613,0.0024366970679928004
9,Male,64,19,3,4,0.0046225228848455185,0.00909830196619563,0.0032230289675855544,0.0009559881028319579,0.9821001580785413
10,Female,30,19,72,2,0.00016498284468144492,0.002969320170186471,0.9951044937332439,0.00046708524550982466,0.0012941180063783216
11,Male,67,19,14,4,0.0003261198715525093,0.0010814275224232497,0.000390016129082975,8.652779904169501e-05,0.9981159086778997
12,Female,35,19,99,2,0.0013948850201012037,0.012896961375496417,0.9730999416826309,0.008015003845963172,0.004593208075808216
13,Female,58,20,15,4,0.00017899419716688896,0.0006252120494524286,0.00021541832395421045,4.743483586007691e-05,0.9989329405935665
14,Female,24,20,77,2,2.254946557068966e-05,0.0003765118214373796,0.9993837856000882,7.831252612993568e-05,0.00013884058677371473
15,Male,37,20,13,4,0.0003418869924381941,0.0010719993682979235,0.00036625348252643074,8.572010314471937e-05,0.9981341400535927
16,Male,22,20,79,2,1.586399954193912e-05,0.00025157489306853087,0.9995832647283667,5.8893476972722644e-05,9.040290205014772e-05
17,Female,35,21,35,4,0.0026884098635759643,0.03137521720302701,0.015445069975206798,0.0014592531323512359,0.9490320498258391
